title,content,topic,sentiment
รถพ่วงบรรทุกดินพลิกคว่ำทับรถเก๋ง เสียชีวิต 2 ราย,รถพ่วงบรรทุกดินเสียหลักพลิกคว่ำทับรถเก๋งที่วิ่งสวนมา มีผู้เสียชีวิต 2 ราย เจ้าหน้าที่ต้องใช้รถเครนยกซากรถออก ตำรวจตั้งข้อสังเกตว่ารถบรรทุกน้ำหนักเกินกำหนด,accident,negative
ชนแล้วหนี ตำรวจตามจับคนขับได้จากกล้องวงจรปิด,ผู้ขับขี่รถเก๋งชนคนข้ามถนนแล้วหลบหนีไป ตำรวจตรวจสอบภาพจากกล้องวงจรปิดและติดตามจับกุมได้ภายใน 6 ชั่วโมง ผู้บาดเจ็บอาการปลอดภัยแล้วหลังเข้ารับการรักษา,accident,negative
อุบัติเหตุลดลงในช่วงเทศกาล หลังเพิ่มจุดตรวจเข้ม,ศูนย์อำนวยการความปลอดภัยทางถนนรายงานว่าจำนวนอุบัติเหตุในช่วงเทศกาลปีนี้ลดลงร้อยละ 18 เทียบกับปีก่อน หลังเพิ่มจุดตรวจวัดแอลกอฮอล์และรณรงค์สวมหมวกนิรภัยอย่างเข้มข้น,accident,positive
รถไฟชนรถกระบะที่จุดตัดไม่มีเครื่องกีดขวาง,ขบวนรถไฟชนรถกระบะบริเวณจุดตัดทางรถไฟที่ไม่มีเครื่องกีดขวาง คนขับรถกระบะได้รับบาดเจ็บสาหัส หน่วยงานท้องถิ่นเร่งเสนอให้ติดตั้งสัญญาณเตือนบริเวณจุดเสี่ยง,accident,negative
เรือโดยสารล่มกลางแม่น้ำ ช่วยผู้โดยสารขึ้นฝั่งได้ทั้งหมด,เรือโดยสารล่มกลางแม่น้ำหลังเครื่องยนต์ขัดข้องและน้ำไหลเข้าท้องเรือ เจ้าหน้าที่และชาวบ้านช่วยกันนำผู้โดยสาร 22 คนขึ้นฝั่งได้อย่างปลอดภัยทั้งหมด,accident,positive
รถเก๋งพุ่งชนร้านค้าริมทาง เจ้าของร้านบาดเจ็บ,รถเก๋งเสียหลักพุ่งชนร้านค้าริมถนน ทำให้เจ้าของร้านได้รับบาดเจ็บและทรัพย์สินเสียหาย คนขับให้การว่าเหยียบคันเร่งผิดขณะถอยรถ ตำรวจอยู่ระหว่างตรวจวัดปริมาณแอลกอฮอล์,accident,negative
หนุ่มขับรถชนเสาไฟฟ้าดับ ทำไฟดับทั้งซอย,รถกระบะพุ่งชนเสาไฟฟ้าจนหักโค่น ส่งผลให้ไฟฟ้าดับทั้งซอยกว่า 200 หลังคาเรือน การไฟฟ้าเร่งเข้าซ่อมแซมและคืนระบบได้ภายในเช้าวันรุ่งขึ้น,accident,negative
เตือนขับรถช่วงหมอกลงจัด ทัศนวิสัยต่ำกว่า 50 เมตร,กรมทางหลวงเตือนผู้ใช้รถใช้ถนนบนเส้นทางภาคเหนือ ระวังหมอกลงจัดในช่วงเช้าซึ่งทำให้ทัศนวิสัยลดลงเหลือไม่ถึง 50 เมตร แนะนำให้เปิดไฟหน้าและลดความเร็วลง,accident,neutral
รถบรรทุกสารเคมีรั่วไหลบนถนน ปิดเส้นทางชั่วคราว,รถบรรทุกสารเคมีเกิดอุบัติเหตุทำให้สารเคมีรั่วไหลลงบนผิวถนน เจ้าหน้าที่ปิดเส้นทางชั่วคราวและเข้าควบคุมพื้นที่ ไม่มีรายงานผู้ได้รับบาดเจ็บจากการสูดดม,accident,negative
จยย.ชนกันสองคันกลางซอย บาดเจ็บทั้งสองฝ่าย,รถจักรยานยนต์สองคันชนกันบริเวณปากซอยที่มีมุมอับสายตา ผู้ขับขี่ทั้งสองฝ่ายได้รับบาดเจ็บที่ศีรษะและแขน ทั้งคู่ไม่ได้สวมหมวกนิรภัยขณะเกิดเหตุ,accident,negative
คนงานตกจากนั่งร้านชั้น 4 อาการวิกฤต,คนงานก่อสร้างพลัดตกจากนั่งร้านความสูงระดับชั้น 4 ได้รับบาดเจ็บอาการวิกฤต เจ้าหน้าที่ตรวจสอบพบว่าไม่มีการติดตั้งอุปกรณ์ป้องกันการตกตามมาตรฐาน,accident,negative
ไฟไหม้รถยนต์กลางถนน คนขับหนีออกมาได้ทัน,รถยนต์เกิดเพลิงไหม้ขณะวิ่งอยู่บนถนน คนขับสังเกตเห็นควันและรีบออกจากรถได้ทันก่อนไฟลุกท่วม เจ้าหน้าที่ดับเพลิงควบคุมเพลิงได้ในเวลาไม่นาน ไม่มีผู้บาดเจ็บ,accident,neutral
รถกระบะตกสะพานลงคลอง เสียชีวิต 1 ราย,รถกระบะเสียหลักตกจากสะพานลงคลองข้างทาง มีผู้เสียชีวิต 1 ราย เจ้าหน้าที่ใช้เวลากว่า 2 ชั่วโมงในการกู้ซากรถขึ้นจากน้ำ ตำรวจสันนิษฐานว่าคนขับหลับใน,accident,negative
ผู้สูงอายุถูกรถเฉี่ยวขณะข้ามถนน บาดเจ็บที่ขา,ผู้สูงอายุถูกรถจักรยานยนต์เฉี่ยวขณะข้ามถนนบริเวณที่ไม่มีทางม้าลาย ได้รับบาดเจ็บที่ขาและสะโพก ชุมชนเรียกร้องให้ติดตั้งทางม้าลายและสัญญาณไฟคนข้าม,accident,negative
เพิ่มไฟส่องสว่างจุดเสี่ยง อุบัติเหตุกลางคืนลดลงชัดเจน,หลังเทศบาลติดตั้งไฟส่องสว่างเพิ่มบริเวณทางโค้งที่เคยเกิดอุบัติเหตุบ่อยครั้ง สถิติอุบัติเหตุช่วงกลางคืนในจุดดังกล่าวลดลงอย่างเห็นได้ชัด ชาวบ้านชื่นชมการแก้ปัญหาที่ตรงจุด,accident,positive
รถเมล์เบรกทันคนข้ามถนน ผู้โดยสารล้มบาดเจ็บ,รถเมล์เบรกอย่างแรงเพื่อหลีกเลี่ยงการชนคนข้ามถนน ทำให้ผู้โดยสารที่ยืนอยู่ล้มลงและได้รับบาดเจ็บ 3 ราย คนขับยืนยันว่าจำเป็นต้องเบรกเพื่อป้องกันอุบัติเหตุที่รุนแรงกว่า,accident,negative
รถขนส่งสินค้าชนกำแพงคลังสินค้า สินค้าเสียหายจำนวนมาก,รถขนส่งสินค้าเสียหลักพุ่งชนกำแพงคลังสินค้า ทำให้สินค้าภายในเสียหายจำนวนมาก คนขับได้รับบาดเจ็บเล็กน้อย บริษัทประเมินความเสียหายเบื้องต้นหลายแสนบาท,accident,negative
เตือนถนนลื่นช่วงฝนตกแรก แนะเว้นระยะห่าง,ตำรวจจราจรเตือนผู้ขับขี่ระวังถนนลื่นเป็นพิเศษในช่วงฝนตกครั้งแรกหลังแล้งนาน เนื่องจากคราบน้ำมันบนผิวถนนทำให้ยางจับถนนได้น้อยลง ควรเว้นระยะห่างเพิ่มขึ้นเป็นสองเท่า,accident,neutral
รถจักรยานยนต์ชนสุนัขจรจัด คนขับกระเด็นตกถนน,ผู้ขับขี่รถจักรยานยนต์ชนสุนัขจรจัดที่วิ่งตัดหน้า ทำให้กระเด็นตกลงบนถนนและได้รับบาดเจ็บที่ไหล่ เทศบาลรับเรื่องเพื่อจัดการปัญหาสุนัขจรจัดในพื้นที่,accident,negative
อุบัติเหตุงานก่อสร้าง เครนล้มทับรถที่จอดอยู่,เครนในไซต์งานก่อสร้างล้มลงทับรถยนต์ที่จอดอยู่ริมถนน 3 คัน ไม่มีผู้ได้รับบาดเจ็บเนื่องจากเกิดเหตุในช่วงพักกลางวัน หน่วยงานสั่งหยุดงานเพื่อตรวจสอบความปลอดภัย,accident,negative
รถชนต้นไม้ล้มขวางถนน ปิดการจราจรหนึ่งช่องทาง,รถกระบะพุ่งชนต้นไม้ใหญ่ริมทางจนต้นไม้ล้มขวางถนน เจ้าหน้าที่ปิดการจราจรหนึ่งช่องทางเพื่อตัดต้นไม้ออก คนขับได้รับบาดเจ็บเล็กน้อยและถูกนำส่งโรงพยาบาล,accident,negative
หญิงพลัดตกจากรถไฟฟ้า เจ้าหน้าที่ช่วยได้ทัน,หญิงรายหนึ่งพลัดตกลงระหว่างชานชาลาและขบวนรถไฟฟ้า เจ้าหน้าที่สถานีกดปุ่มหยุดฉุกเฉินและช่วยขึ้นมาได้ทันเวลา ผู้ประสบเหตุได้รับบาดเจ็บเพียงเล็กน้อย,accident,positive
รถทัวร์เสียหลักตกข้างทาง ผู้โดยสารบาดเจ็บ 15 ราย,รถทัวร์โดยสารเสียหลักตกลงข้างทางบริเวณทางโค้งลงเขา ผู้โดยสารได้รับบาดเจ็บ 15 ราย เจ้าหน้าที่ระดมรถพยาบาลจากหลายโรงพยาบาลเข้าช่วยเหลือ,accident,negative
ชายขับรถฝ่าไฟแดงชนรถที่วิ่งตรงมา,ผู้ขับขี่รถเก๋งฝ่าสัญญาณไฟแดงพุ่งชนรถที่วิ่งมาตามทางตรง ทำให้ทั้งสองฝ่ายได้รับบาดเจ็บ ตำรวจใช้ภาพจากกล้องหน้ารถเป็นหลักฐานในการดำเนินคดี,accident,negative
เด็กจมน้ำในสระหมู่บ้าน เพื่อนบ้านช่วยขึ้นมาได้,เด็กชายวัย 7 ขวบพลัดตกลงในสระน้ำภายในหมู่บ้าน เพื่อนบ้านที่ผ่านมาเห็นและช่วยขึ้นมาได้ทัน แพทย์ระบุว่าปลอดภัยแล้วหลังสังเกตอาการหนึ่งคืน,accident,positive
รถบรรทุกน้ำมันคว่ำ เจ้าหน้าที่ปิดถนนควบคุมพื้นที่,รถบรรทุกน้ำมันพลิกคว่ำบนถนนสายหลัก เจ้าหน้าที่ปิดถนนเป็นระยะทาง 2 กิโลเมตรเพื่อควบคุมความเสี่ยงเพลิงไหม้ ไม่มีรายงานผู้ได้รับบาดเจ็บและไม่มีน้ำมันรั่วไหลลงแหล่งน้ำ,accident,neutral
ลิฟต์ค้างระหว่างชั้น ช่วยผู้ติดอยู่ 6 คนออกมาได้,ลิฟต์อาคารสำนักงานค้างระหว่างชั้นทำให้มีผู้ติดอยู่ภายใน 6 คน เจ้าหน้าที่กู้ภัยเปิดประตูและช่วยออกมาได้อย่างปลอดภัยภายใน 40 นาที เจ้าของอาคารสั่งตรวจสอบระบบทั้งหมด,accident,neutral
รถชนกันบนสะพานลอย เศษกระจกร่วงใส่ถนนล่าง,อุบัติเหตุรถชนกันบนสะพานลอยทำให้เศษกระจกร่วงลงถนนด้านล่าง เจ้าหน้าที่เร่งเก็บกวาดเพื่อป้องกันยางรถแตก มีผู้ได้รับบาดเจ็บเล็กน้อย 2 ราย,accident,negative
ผู้ขับขี่เมาแล้วขับชนกำแพงบ้าน เจ้าของบ้านไม่ได้รับบาดเจ็บ,ผู้ขับขี่ที่มีปริมาณแอลกอฮอล์เกินกำหนดพุ่งชนกำแพงบ้านพักอาศัยจนพัง เจ้าของบ้านไม่ได้รับบาดเจ็บเนื่องจากอยู่ด้านหลังบ้าน ตำรวจดำเนินคดีข้อหาเมาแล้วขับ,accident,negative
ปรับปรุงทางโค้งอันตราย ลดอุบัติเหตุได้กว่าครึ่ง,กรมทางหลวงปรับปรุงทางโค้งที่เคยเกิดอุบัติเหตุซ้ำซาก โดยขยายไหล่ทางและติดตั้งแบริเออร์ ผลการติดตามหนึ่งปีพบว่าอุบัติเหตุในจุดดังกล่าวลดลงมากกว่าครึ่ง,accident,positive
รถจักรยานยนต์ชนคนเดินเท้าบนทางเท้า,ผู้ขับขี่รถจักรยานยนต์ขึ้นขับบนทางเท้าและชนคนเดินเท้าจนได้รับบาดเจ็บ เทศบาลเตรียมเพิ่มการกวดขันการขับขี่บนทางเท้าและติดตั้งเสากั้นในจุดที่มีปัญหา,accident,negative
รถเก๋งชนท้ายรถพ่วงติดไฟท้ายเสีย,รถเก๋งพุ่งชนท้ายรถพ่วงที่ไฟท้ายไม่ติดในช่วงกลางคืน คนขับรถเก๋งได้รับบาดเจ็บสาหัส ตำรวจดำเนินคดีเจ้าของรถพ่วงข้อหานำรถที่มีอุปกรณ์ไม่สมบูรณ์มาใช้บนถนน,accident,negative
เหตุรถชนกันช่วงเช้า การจราจรกลับสู่ปกติเร็วกว่าคาด,อุบัติเหตุรถชนกันในช่วงเช้าเร่งด่วนทำให้การจราจรติดขัด แต่เจ้าหน้าที่สามารถเคลียร์พื้นที่ได้ภายใน 25 นาที ทำให้การจราจรกลับสู่ภาวะปกติเร็วกว่าที่คาดการณ์ไว้,accident,positive
รถโรงเรียนเบรกทัน ไม่มีเด็กได้รับบาดเจ็บ,คนขับรถรับส่งนักเรียนเบรกได้ทันเมื่อรถคันหน้าหยุดฉุกเฉิน ทำให้ไม่เกิดการชนและไม่มีนักเรียนได้รับบาดเจ็บ โรงเรียนใช้เหตุการณ์นี้เป็นกรณีศึกษาอบรมความปลอดภัย,accident,positive
หนุ่มขับรถตกร่องระบายน้ำที่ไม่มีฝาปิด,ผู้ขับขี่รถจักรยานยนต์ตกลงในร่องระบายน้ำที่ไม่มีฝาปิดริมถนน ได้รับบาดเจ็บที่ขาและต้องเข้าเฝือก ชาวบ้านระบุว่าแจ้งปัญหาฝาท่อหายไปหลายเดือนแล้วแต่ยังไม่ได้รับการแก้ไข,accident,negative
เกิดเหตุรถชนกันในลานจอดรถห้าง ไม่มีผู้บาดเจ็บ,รถยนต์สองคันเฉี่ยวชนกันในลานจอดรถศูนย์การค้า ไม่มีผู้ได้รับบาดเจ็บ ทั้งสองฝ่ายตกลงเจรจาค่าเสียหายกันได้โดยไม่ต้องแจ้งความ,accident,neutral
รถบรรทุกชนราวกั้นทางด่วน เจ้าหน้าที่ซ่อมแซมข้ามคืน,รถบรรทุกเสียหลักชนราวกั้นบนทางด่วนได้รับความเสียหายเป็นระยะทาง 30 เมตร เจ้าหน้าที่เข้าซ่อมแซมในช่วงกลางคืนเพื่อลดผลกระทบต่อการจราจร คนขับบาดเจ็บเล็กน้อย,accident,neutral
เตือนระวังอุบัติเหตุช่วงปิดเทอม เด็กเล่นริมถนนเพิ่มขึ้น,หน่วยงานความปลอดภัยทางถนนเตือนผู้ขับขี่ให้ระมัดระวังเป็นพิเศษในช่วงปิดภาคเรียน เนื่องจากมีเด็กเล่นบริเวณริมถนนและในซอยเพิ่มขึ้น ควรลดความเร็วเมื่อผ่านเขตชุมชน,accident,neutral
รถชนกันเพราะแซงในที่คับขัน บาดเจ็บ 4 ราย,อุบัติเหตุรถชนประสานงากันเกิดจากการแซงในบริเวณที่คับขันและมีเส้นทึบห้ามแซง มีผู้ได้รับบาดเจ็บรวม 4 ราย ตำรวจดำเนินคดีผู้ขับขี่ที่แซงผิดกฎจราจร,accident,negative
ระบบแจ้งเหตุฉุกเฉินใหม่ ช่วยลดเวลาถึงที่เกิดเหตุ,หน่วยกู้ภัยเริ่มใช้ระบบแจ้งเหตุฉุกเฉินที่ระบุพิกัดอัตโนมัติ ทำให้เวลาเดินทางถึงที่เกิดเหตุลดลงเฉลี่ย 4 นาที ซึ่งมีผลอย่างมากต่อโอกาสรอดชีวิตของผู้ประสบเหตุ,accident,positive
ตำรวจจับกุมผู้ต้องหาคดีลักทรัพย์ หลังติดตามจากกล้องวงจรปิด,เจ้าหน้าที่ตำรวจจับกุมผู้ต้องหาคดีลักทรัพย์ในบ้านพักได้ที่ห้องเช่าย่านชานเมือง หลังตรวจสอบภาพจากกล้องวงจรปิดและติดตามเส้นทางหลบหนี ผู้ต้องหาให้การรับสารภาพและนำของกลางมาคืนเจ้าทรัพย์,crime,positive
บุกจับแหล่งผลิตยาเสพติดกลางเมือง ยึดของกลางมูลค่าหลายล้าน,ชุดปฏิบัติการปราบปรามยาเสพติดบุกค้นบ้านต้องสงสัยและพบอุปกรณ์ผลิตยาเสพติดพร้อมของกลางมูลค่ากว่า 8 ล้านบาท จับกุมผู้ต้องหาได้ 4 ราย ขยายผลไปถึงเครือข่ายผู้จำหน่ายในหลายจังหวัด,crime,positive
คนร้ายงัดร้านทองชิงทรัพย์ หนีไปได้,คนร้าย 2 คนงัดร้านทองในตลาดช่วงกลางดึกและชิงทองรูปพรรณไปหลายรายการ ก่อนหลบหนีด้วยรถจักรยานยนต์ เจ้าหน้าที่กำลังตรวจสอบภาพวงจรปิดเพื่อติดตามตัว,crime,negative
หลอกลวงออนไลน์ระบาด เสียหายรวมกว่า 30 ล้านบาท,ตำรวจไซเบอร์เผยสถิติคดีหลอกลวงทางออนไลน์ในรอบเดือนเพิ่มขึ้นอย่างมาก มีผู้เสียหายรวมความเสียหายกว่า 30 ล้านบาท ส่วนใหญ่เป็นการหลอกให้ลงทุนและหลอกให้โอนเงินค่ามัดจำสินค้า,crime,negative
จับแก๊งคอลเซ็นเตอร์ข้ามชาติ ยึดอุปกรณ์สื่อสารจำนวนมาก,เจ้าหน้าที่ร่วมกับหน่วยงานต่างประเทศบุกทลายแก๊งคอลเซ็นเตอร์ที่ตั้งฐานอยู่บริเวณชายแดน จับกุมผู้ต้องหาได้ 23 ราย พร้อมยึดคอมพิวเตอร์และซิมการ์ดจำนวนมากเป็นของกลาง,crime,positive
ชายก่อเหตุทำร้ายร่างกายในผับ ตำรวจควบคุมตัวได้,เกิดเหตุทะเลาะวิวาทในสถานบันเทิงจนมีผู้ได้รับบาดเจ็บ 2 ราย เจ้าหน้าที่เข้าระงับเหตุและควบคุมตัวผู้ก่อเหตุได้ทันที ผู้บาดเจ็บถูกนำส่งโรงพยาบาลและอาการไม่รุนแรง,crime,negative
ตำรวจตามจับผู้ต้องหาคดีฉ้อโกงหลังหลบหนี 3 ปี,ผู้ต้องหาคดีฉ้อโกงประชาชนที่หลบหนีหมายจับมากว่า 3 ปี ถูกจับกุมได้ขณะกำลังเดินทางออกนอกประเทศ เจ้าหน้าที่ระบุว่ามีผู้เสียหายในคดีนี้มากกว่า 60 ราย,crime,positive
ลักรถจักรยานยนต์หน้าหอพัก คนร้ายใช้เวลาไม่ถึงนาที,คนร้ายลักรถจักรยานยนต์ที่จอดอยู่หน้าหอพักโดยใช้เวลาไม่ถึงหนึ่งนาที ภาพจากกล้องวงจรปิดแสดงให้เห็นการใช้อุปกรณ์สะเดาะกุญแจ เจ้าหน้าที่แนะนำให้ผู้พักอาศัยใช้ล็อกเสริม,crime,negative
ยึดสินค้าละเมิดลิขสิทธิ์กลางตลาดนัด มูลค่าเกือบล้าน,เจ้าหน้าที่เข้าตรวจค้นแผงค้าในตลาดนัดและยึดสินค้าละเมิดลิขสิทธิ์มูลค่าเกือบหนึ่งล้านบาท ผู้ค้าถูกดำเนินคดีตามกฎหมาย เจ้าหน้าที่ระบุว่าจะขยายการตรวจสอบไปยังแหล่งกระจายสินค้า,crime,neutral
หญิงถูกล้วงกระเป๋าบนรถโดยสาร สูญเงินหลายพัน,ผู้เสียหายแจ้งความว่าถูกล้วงกระเป๋าขณะโดยสารรถประจำทางในช่วงเวลาเร่งด่วน สูญเงินสดและบัตรประจำตัว ตำรวจเตือนให้ระวังทรัพย์สินในที่แออัดและเก็บกระเป๋าไว้ด้านหน้าลำตัว,crime,negative
ปราบปรามการพนันออนไลน์ จับผู้เกี่ยวข้อง 12 ราย,เจ้าหน้าที่บุกค้นเป้าหมาย 5 จุดในคดีเว็บพนันออนไลน์ จับกุมผู้เกี่ยวข้องได้ 12 ราย พร้อมอายัดบัญชีธนาคารที่ใช้หมุนเวียนเงินกว่า 40 บัญชี,crime,positive
คดีปล้นร้านสะดวกซื้อ พนักงานปลอดภัย,คนร้ายก่อเหตุปล้นร้านสะดวกซื้อในช่วงกลางคืนและหลบหนีไปพร้อมเงินสดจำนวนหนึ่ง พนักงานไม่ได้รับบาดเจ็บ เจ้าหน้าที่กำลังติดตามจากภาพวงจรปิดและเส้นทางหลบหนี,crime,negative
ศาลตัดสินจำคุกผู้กระทำผิดคดีทำร้ายร่างกาย,ศาลมีคำพิพากษาจำคุกผู้กระทำผิดในคดีทำร้ายร่างกายผู้อื่นจนได้รับบาดเจ็บสาหัส โดยไม่รอลงอาญา ผู้เสียหายและครอบครัวแสดงความพอใจต่อคำตัดสิน,crime,neutral
ตำรวจคืนทรัพย์สินให้ผู้เสียหายกว่า 100 ราย,เจ้าหน้าที่จัดพิธีมอบคืนทรัพย์สินที่ยึดได้จากขบวนการลักทรัพย์ให้ผู้เสียหายกว่า 100 ราย รวมมูลค่าหลายล้านบาท ผู้เสียหายหลายรายไม่คาดคิดว่าจะได้ทรัพย์สินคืน,crime,positive
เตือนภัยมิจฉาชีพปลอมเป็นเจ้าหน้าที่รัฐ,หน่วยงานเตือนประชาชนระวังมิจฉาชีพที่แอบอ้างเป็นเจ้าหน้าที่รัฐโทรศัพท์ข่มขู่เรื่องคดีความและให้โอนเงิน ย้ำว่าหน่วยงานราชการไม่มีนโยบายเรียกเก็บเงินทางโทรศัพท์,crime,neutral
จับกุมผู้ค้าอาวุธเถื่อนผ่านสื่อสังคมออนไลน์,เจ้าหน้าที่สืบสวนพบการซื้อขายอาวุธปืนเถื่อนผ่านกลุ่มปิดในสื่อสังคมออนไลน์ จับกุมผู้ต้องหาได้ 3 ราย พร้อมยึดอาวุธปืนและเครื่องกระสุนจำนวนมาก,crime,positive
คนร้ายวางเพลิงรถยนต์หน้าบ้าน เจ้าของทรัพย์เสียหาย,เกิดเหตุคนร้ายวางเพลิงรถยนต์ที่จอดอยู่หน้าบ้านพักในช่วงกลางดึก ทำให้รถได้รับความเสียหายทั้งคัน ตำรวจสันนิษฐานว่าอาจเกี่ยวข้องกับความขัดแย้งส่วนตัว,crime,negative
ผู้ต้องหาคดียาเสพติดเข้ามอบตัว หลังเจรจากับครอบครัว,ผู้ต้องหาตามหมายจับคดียาเสพติดเดินทางเข้ามอบตัวกับเจ้าหน้าที่ หลังครอบครัวช่วยเจรจาเกลี้ยกล่อม เจ้าหน้าที่ระบุว่าการมอบตัวจะเป็นผลดีต่อรูปคดี,crime,neutral
สถิติอาชญากรรมในเขตเมืองลดลงต่อเนื่อง 2 ปี,หน่วยงานตำรวจรายงานว่าสถิติคดีอาชญากรรมในเขตเมืองลดลงต่อเนื่องเป็นปีที่สอง โดยเฉพาะคดีลักทรัพย์และคดีชิงทรัพย์ ผลจากการเพิ่มกล้องวงจรปิดและสายตรวจในชุมชน,crime,positive
หลอกขายสินค้าออนไลน์ไม่ส่งของ ผู้เสียหายรวมตัวแจ้งความ,ผู้เสียหายกว่า 80 รายรวมตัวเข้าแจ้งความคดีหลอกขายสินค้าออนไลน์แล้วไม่ส่งของ มูลค่าความเสียหายรวมกว่า 2 ล้านบาท เจ้าหน้าที่กำลังตรวจสอบเส้นทางการเงิน,crime,negative
ตำรวจจับผู้ต้องหาคดีข่มขู่รีดไถผู้ประกอบการ,เจ้าหน้าที่จับกุมกลุ่มผู้ต้องหาที่ข่มขู่เรียกเก็บเงินจากผู้ประกอบการร้านค้าในพื้นที่ ผู้เสียหายหลายรายกล้าเข้าให้ปากคำหลังได้รับการคุ้มครองความปลอดภัย,crime,positive
ขบวนการฟอกเงินถูกทลาย อายัดทรัพย์กว่า 200 ล้าน,หน่วยงานปราบปรามการฟอกเงินทลายขบวนการที่ใช้บริษัทบังหน้าโยกย้ายเงินผิดกฎหมาย อายัดทรัพย์สินได้มูลค่ากว่า 200 ล้านบาท และดำเนินคดีผู้เกี่ยวข้อง 9 ราย,crime,positive
เหตุยิงกันในพื้นที่ชุมชน ไม่มีผู้เสียชีวิต,เกิดเหตุยิงกันระหว่างกลุ่มวัยรุ่นในพื้นที่ชุมชนช่วงกลางคืน ไม่มีผู้เสียชีวิตแต่มีผู้ได้รับบาดเจ็บ 1 ราย เจ้าหน้าที่เพิ่มกำลังสายตรวจเพื่อป้องกันเหตุซ้ำ,crime,negative
จับผู้ต้องหาปลอมเอกสารราชการเพื่อขอสินเชื่อ,เจ้าหน้าที่จับกุมผู้ต้องหาที่ปลอมเอกสารราชการเพื่อใช้ยื่นขอสินเชื่อจากสถาบันการเงิน ตรวจพบการกระทำลักษณะเดียวกันหลายครั้ง ธนาคารเสียหายรวมหลายล้านบาท,crime,negative
